id	repo_path	remote	branch	baseline_head	baseline_date	has_dossier	watch_globs	triggers
L.covenant-emulator	L/covenant-emulator	babylonlabs-io/covenant-emulator	release/v0.15.x	93f38e8	2025-04-02	no	contracts/,src/	
L.finality-provider	L/finality-provider	babylonlabs-io/finality-provider	release/v2.x	fd28092	2026-03-28	no	contracts/,src/	
L.oz-fresh.openzeppelin-community-contracts	L/oz-fresh/openzeppelin-community-contracts	OpenZeppelin/openzeppelin-community-contracts	DETACHED	0361935	2026-08-09	no	contracts/,src/	
L.oz-fresh.openzeppelin-confidential-contracts	L/oz-fresh/openzeppelin-confidential-contracts	OpenZeppelin/openzeppelin-confidential-contracts	DETACHED	4a4f6c7	2026-08-10	no	contracts/,src/	
L.rsk.2wp-api	L/rsk/2wp-api	rsksmart/2wp-api	main	556fe77	2026-09-01	no	contracts/,src/	
L.rsk.2wp-app	L/rsk/2wp-app	rsksmart/2wp-app	main	b0e728ff	2026-08-05	no	contracts/,src/	
L.rsk.bridges-core-sdk	L/rsk/bridges-core-sdk	rsksmart/bridges-core-sdk	main	687446e	2026-08-26	no	contracts/,src/	
L.rsk.flyover-sdk	L/rsk/flyover-sdk	rsksmart/flyover-sdk	main	357773d	2026-08-26	no	contracts/,src/	
L.rsk.liquidity-bridge-contract	L/rsk/liquidity-bridge-contract	rsksmart/liquidity-bridge-contract	master	bc01477	2026-08-19	no	contracts/,src/	
L.rsk.liquidity-provider-server	L/rsk/liquidity-provider-server	rsksmart/liquidity-provider-server	master	50ade621	2026-07-06	no	contracts/,src/	
L.rsk.rskj	L/rsk/rskj	rsksmart/rskj	master	161c3f1	2026-08-29	no	contracts/,src/	
L.staking-api-service	L/staking-api-service	babylonlabs-io/staking-api-service	main	81c8faa	2026-08-11	no	contracts/,src/	
L.staking-expiry-checker	L/staking-expiry-checker	babylonlabs-io/staking-expiry-checker	release/v1.x	73f4c7b	2025-10-30	no	contracts/,src/	
L.staking-queue-client	L/staking-queue-client	babylonlabs-io/staking-queue-client	release/v1.x	c4b08ad	2025-01-16	no	contracts/,src/	
L.vigilante	L/vigilante	babylonlabs-io/vigilante	release/v0.24.x	9a4c506	2026-05-05	no	contracts/,src/	
L.zest.zest-v2-contracts	L/zest/zest-v2-contracts	Zest-Protocol/zest-v2-contracts	main	f2fce52	2026-09-02	no	contracts/,src/	
ManuPoke.asset-managers	ManuPoke/asset-managers	arcadia-finance/asset-managers	main	ca02535	2026-06-12	no	contracts/,src/	
ManuPoke.chronicle-scribe.repo	ManuPoke/chronicle-scribe/repo	chronicleprotocol/scribe	v2	a5e0da3	2024-10-03	no	contracts/,src/	
ManuPoke.grunt-fresh.repo	ManuPoke/grunt-fresh/repo	3FLabs/grunt	main	96a18e3	2026-06-30	no	contracts/,src/	
ManuPoke.kuru-fresh.Kuru-contracts-active-vault-public	ManuPoke/kuru-fresh/Kuru-contracts-active-vault-public	Kuru-Labs/Kuru-contracts-active-vault-public	main	927bb84	2026-04-15	no	contracts/,src/	
ManuPoke.kuru-fresh.Kuru-contracts-dex-public	ManuPoke/kuru-fresh/Kuru-contracts-dex-public	Kuru-Labs/Kuru-contracts-dex-public	main	2060bb2	2026-04-15	no	contracts/,src/	
